filename,mean_R,mean_G,mean_B,contrast_R,dissimilarity_R,homogeneity_R,energy_R,correlation_R,entropy_R,contrast_G,dissimilarity_G,homogeneity_G,energy_G,correlation_G,entropy_G,contrast_B,dissimilarity_B,homogeneity_B,energy_B,correlation_B,entropy_B
y'wande_1.jpg,136.94392386732585,128.49935756714876,136.20163997933884,6.399635243287247,2.115546410922487,0.40477724321871666,0.11945841670047898,6.583000089278399e-17,2.1955583464872865,6.37030565689883,2.1089330717117662,0.4058662604142825,0.11969616728055121,0.0,2.1943892174804307,6.4391407566635745,2.1270145296786414,0.4018552059530019,0.11950626125848716,0.0,2.1954163291737605
y'wande_10.jpg,132.9247498810047,125.80201468219097,131.87223747803162,5.897984062660458,2.0109099810279174,0.41978257458366885,0.1251318970559341,9.142993483861374e-17,2.165539279652273,5.877171551006209,2.006105385916975,0.4205379359963376,0.12547241999271747,1.1448959965041943e-16,2.1640385631152976,5.951588263467611,2.026458297941116,0.4158101908761352,0.12468685787321085,0.0,2.167690090396934
y'wande_11.jpg,137.8921431055946,130.59945147737258,134.34485825827474,6.081571256133264,2.062153591398312,0.40764840236408534,0.12483448895358026,2.025885174009794e-16,2.1688403460049117,6.082206814613613,2.06214070291476,0.4075914682711393,0.12490725653034003,9.003463662665651e-17,2.168559578449665,6.180926012956102,2.085639609729334,0.4030623720494524,0.12440462684115168,6.698455844354554e-17,2.171539102660519
y'wande_12.jpg,151.3248439330697,143.8528293424136,144.31552865956357,6.352323702835648,2.1151708023586546,0.40149190809937313,0.12190096390082616,0.0,2.1852965802618782,6.328602259199538,2.109127061812665,0.4027043518531198,0.12202548145403512,0.0,2.184687962531626,6.39589696084942,2.1260464715880225,0.39932090781273816,0.12158491753709201,6.58492362853788e-17,2.186903918061315
y'wande_13.jpg,139.66898913481253,130.97534943431458,138.36003405096662,6.30238447037401,2.0978892379152505,0.4059438145670332,0.12097190204606952,1.7689589592539478e-16,2.1875358689781454,6.262045737765908,2.0886525692713556,0.4075579103116247,0.12128949260910796,8.873237183062664e-17,2.1859301395904143,6.330654966238506,2.1065311422951356,0.4036567894549554,0.12102762433338667,1.1031279770364099e-16,2.1872757912369134
y'wande_14.jpg,134.00869924392208,128.98732654144698,137.85364995240187,6.335513035656641,2.0883804783234923,0.41431298769509756,0.1185390701576225,6.616229741102986e-17,2.2000963199725456,6.246296026880844,2.0678204555340165,0.41822238257688843,0.11928356513649989,2.221104210769587e-17,2.196392564153386,6.319094478306334,2.088009850556443,0.4133055651357187,0.118652976790887,0.0,2.199235113022377
y'wande_15.jpg,122.64565735757176,113.87688676222906,117.32346038371412,6.402002318012445,2.0938248128636463,0.4179419914540749,0.116866046122219,1.3163565956829486e-16,2.2083430633688703,6.278036408689452,2.06611320774507,0.4229845965443377,0.1182505858471646,1.5508376710827355e-16,2.2014077965362016,6.331993029495701,2.0838540455310057,0.4179405227938846,0.11758978555312022,6.61806849334552e-17,2.2041276237190717
y'wande_16.jpg,135.276251281488,127.20262819456649,131.59088793387522,6.03488529119026,2.038359956573645,0.4158075454776702,0.12245737632776496,0.0,2.1772979082017057,5.96426235531859,2.0194693724390724,0.4202561144142567,0.12313328751297167,1.363807571789784e-16,2.174299235089274,6.012473006908014,2.032218383898797,0.41750708038645273,0.12254128925988403,0.0,2.17710990987105
y'wande_17.jpg,147.7568651142355,135.9692239217194,135.95261560852373,6.105024670658413,2.0595209576158298,0.41052037340003916,0.12315611123746109,6.73996683676944e-17,2.1751271671702,6.0186148329294795,2.0349687481773504,0.4167974743926134,0.12368098441258192,0.0,2.173436562194672,6.0635682577472805,2.0469349441009608,0.41434803587227415,0.12310230727904986,9.017290735773011e-17,2.1761001132607216
y'wande_18.jpg,145.49781872437023,121.0151098875952,102.67791904657294,6.076991042187994,2.024857602514529,0.42853903725345577,0.12064577200014372,0.0,2.1891968426777586,5.8126614006630035,1.9398897624458296,0.4556487772020366,0.12457926506808539,0.0,2.174726927229147,5.938822407952248,1.9736794749139626,0.44830906416414634,0.12243250860162329,6.833627500098556e-17,2.1842598331733436
