filename,lbp_R_0,lbp_G_0,lbp_B_0,lbp_R_1,lbp_G_1,lbp_B_1,lbp_R_2,lbp_G_2,lbp_B_2,lbp_R_3,lbp_G_3,lbp_B_3,lbp_R_4,lbp_G_4,lbp_B_4,lbp_R_5,lbp_G_5,lbp_B_5,lbp_R_6,lbp_G_6,lbp_B_6,lbp_R_7,lbp_G_7,lbp_B_7,lbp_R_8,lbp_G_8,lbp_B_8,lbp_R_9,lbp_G_9,lbp_B_9
y'wande_1.jpg,0.029357521030105582,0.029170971074379496,0.029235767783352337,0.07499976940672791,0.07431190968122615,0.07523128505017537,0.03456846775383628,0.034479458751475005,0.034735417281581256,0.11687758264462542,0.1170560618358887,0.11670717421782495,0.11550071022727007,0.11687712145808468,0.11104610943033984,0.17670685138724507,0.1778416008707161,0.1754777892561943,0.09812504611865182,0.09801413075560578,0.0985841573199505,0.08653934843565327,0.08607585596221762,0.08698254870129671,0.1523930969598548,0.15185189455430584,0.15554784349173195,0.1149316060360068,0.11432099505607765,0.11645190746752979
y'wande_10.jpg,0.02364024970708792,0.023591965070298232,0.023691280389571807,0.0671128990919727,0.0665188378734607,0.06750398176625505,0.030204900776214894,0.03004105338312761,0.030509711848271125,0.12040449253075297,0.12039945811364693,0.12019899677797032,0.1378377636203835,0.1384375457674251,0.13150858596953421,0.19252549245752343,0.19376578976273723,0.19129343328939225,0.09405915897773658,0.0937303200058561,0.0948838880345614,0.08144977482425121,0.08133764462507137,0.08255940612184932,0.15054531890743653,0.15042540824545644,0.15382478397773522,0.10221994910661747,0.10175197715289751,0.10402593182483652
y'wande_11.jpg,0.02494118885471531,0.025001601859987715,0.025475523579378448,0.0681701266842398,0.06808705880199024,0.06949051698886778,0.031189586994726883,0.03106898982132325,0.03150767062097175,0.11802687463385789,0.11787927467779462,0.11742182923256908,0.12072761057410386,0.12023286467486545,0.11167984768599629,0.18802724077328217,0.18845013181018902,0.18579401911247378,0.09370377489747882,0.09375251720855088,0.0946900629759791,0.08312715106912523,0.08315461152606723,0.08485670218218905,0.1678762997949581,0.16795433326010162,0.17150680103983207,0.10421014572348913,0.10441861635910717,0.10757702658171987
y'wande_12.jpg,0.028735537492676558,0.028699381224369585,0.02874469097832389,0.07221802687463222,0.07160337031341371,0.07255990956356015,0.03429330514059676,0.034270650263619605,0.03486310962214332,0.11440438268892533,0.11479065978324285,0.11473551003221766,0.11461010727884917,0.11568678602811687,0.11086175490626578,0.17907879320444817,0.18032343841534446,0.1772810486233117,0.09357196470415721,0.09357951632981626,0.09451637558582092,0.08481230777679948,0.08437294046572742,0.0851969830111287,0.16849095635617659,0.16726301625658668,0.16938776911247416,0.10978461848271572,0.10941024091973975,0.1118528485647309
y'wande_13.jpg,0.02777007359402397,0.027529794595781445,0.027634830843584608,0.07359219390743828,0.07278966205330824,0.0736427669156398,0.032779776288810035,0.032586408904510096,0.03285254649970634,0.11744471294668742,0.11789758164908928,0.11760100871411565,0.11504741505565057,0.11699070005857964,0.11143133055067116,0.18114885398359282,0.18259007029876562,0.18016027753368072,0.09808188708259882,0.09800110757176109,0.09850340509665856,0.08605191857058972,0.08543451596367702,0.08639517428236476,0.1553376263180984,0.15449550563854364,0.1577738265231364,0.11274554225248717,0.11168465326596114,0.1140048330404192
y'wande_14.jpg,0.03023533611599228,0.029393673110719894,0.029472850761569334,0.07508535625365968,0.07356953903046112,0.07440639645576866,0.035374331795546936,0.03528371228763833,0.03571598564733369,0.11871521675453742,0.11983262851493576,0.11950470489162,0.12742109695371706,0.13220768343584935,0.12645151398652318,0.17736457417984364,0.17971450278265555,0.17710598821030646,0.09938534343877922,0.09898785332454373,0.09975171170181378,0.08506082491212459,0.08381732388693423,0.08506151142354815,0.13674506627123298,0.13477638034563255,0.13773410039542744,0.11461285332454338,0.1124167032806067,0.1147952365260665
y'wande_15.jpg,0.031120935852371873,0.029784526947861066,0.02965592047451602,0.07818564184241181,0.07618423220562216,0.07640437353544055,0.03807071983011044,0.03737917398945433,0.03781282037199679,0.11702159307263939,0.11855136936145014,0.11903490224077057,0.14321040202108637,0.15142222283245116,0.14565461152606582,0.1664449234768562,0.168578829818391,0.16664721550966227,0.1014233670181582,0.10006178602811723,0.10047346404510608,0.08206351603690498,0.08008613429993959,0.08119393490040823,0.12384620313415066,0.12241299611891929,0.12632039030462514,0.11861269771528728,0.11553872839777124,0.11680236709138574
y'wande_16.jpg,0.024488548989454625,0.024341406707673728,0.024424474589923285,0.07044133531048463,0.06931774494727434,0.07000013730228312,0.03026577145576967,0.03018087287639064,0.030668524824252377,0.12135874340948756,0.1222507505858203,0.12273107974516416,0.130100551039833,0.13577960237258038,0.130870588019915,0.18670822349150132,0.18881672891036477,0.18724484658757629,0.0989194310193299,0.09830317259812313,0.09915650629759587,0.08528165275336654,0.08363700021968175,0.08467203060925407,0.14273625146455446,0.1400654931898035,0.1416106015670735,0.1096994910661955,0.10730722759226469,0.10862121045693952
y'wande_17.jpg,0.02465033684827126,0.02519222319859345,0.025203893892793802,0.07045575205037918,0.06879347905682327,0.06947953280609098,0.03093946799941347,0.03142551808728692,0.03201111233157514,0.11938616725248702,0.12019853910368794,0.12045392135324857,0.12360798367017879,0.1320873150995869,0.12943326193614232,0.1873253972612728,0.18939156780901736,0.1870507926918528,0.09605713605740847,0.0953623864967758,0.09568596221440906,0.0837999322642043,0.08149622876391144,0.0821456685705898,0.1538620844317481,0.1508867439220821,0.15207944310192975,0.10991574216461378,0.10516599846221202,0.10645641110134496
y'wande_18.jpg,0.026913765011715846,0.02713527936438134,0.027896620533098368,0.07101228397773711,0.0686390139865245,0.07009693541300367,0.03666451559753871,0.03798078683362538,0.03979088862038574,0.12267615883128015,0.12661559021675164,0.12771286430872586,0.1607381828500256,0.18494068541300104,0.17829388181018926,0.17305946104276113,0.1759309094903299,0.1708793295987073,0.09808097173403409,0.09649307081136277,0.09670657586408685,0.07956301259519444,0.07353384043643652,0.07402240773286299,0.11616848821030784,0.10390670767428,0.10761455587287394,0.11512316014938226,0.10482411577328407,0.10698594024604326
